question,query
how much is the population  Iraq?,SELECT var_pIraq WHERE brack_open  dbr:Iraq dbo_populationTotal var_pIraq  brack_close
How many inhabitants does the largest city in <A> have?,SELECT DISTINCT var_num WHERE brack_open  <A> dbo_largestCity var_city sep_dot var_city dbo_populationTotal var_num  brack_close
Who is the mayor of the capital of French Polynesia?,SELECT DISTINCT var_uri WHERE brack_open  dbr_French_Polynesia dbp_capital var_x sep_dot var_x dbo_mayor var_uri  brack_close
Give me all actors starring in movies directed by <A>.,SELECT DISTINCT var_uri WHERE brack_open  var_x dbo_director <A> sep_dot var_x dbo_starring var_uri  brack_close
How tall is <A>?,SELECT DISTINCT var_height WHERE brack_open  <A> dbo_height var_height  brack_close
how much is the population densty rank of germany?,SELECT var_rank WHERE brack_open  dbr:Germany dbp_populationDensityRank var_rank  brack_close
What is the highest mountain in <A>?,SELECT DISTINCT var_uri WHERE brack_open  var_uri rdf_type dbo_Mountain ; dbo_locatedInArea <A> ; dbo_elevation var_num  brack_close ORDER BY DESC(var_num) OFFSET 0 LIMIT 1
List all games by GMT.,SELECT DISTINCT var_uri WHERE brack_open  var_uri dbo_publisher dbr_GMT_Games  brack_close
What is the official language of <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_officialLanguage var_uri  brack_close
In which city did <A> die?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_deathPlace var_uri sep_dot var_uri rdf_type dbo_City  brack_close
What is in a <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_ingredient var_uri  brack_close
In which country is the <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_country var_uri  brack_close
Give me all video games published by <A>.,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_product var_uri  brack_close
Give me all members of Prodigy.,SELECT DISTINCT var_uri WHERE brack_open  dbr_The_Prodigy dbo_bandMember var_uri  brack_close
In which time zone is <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_timeZone var_uri  brack_close
How high is the lighthouse in <A>?,SELECT DISTINCT var_num WHERE brack_open  <A>>_Lighthouse dbo_height var_num  brack_close
Who is the mayor of <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbp_leaderName var_uri  brack_close LIMIT 1
What is the largest city in <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_largestCity var_uri  brack_close
Who was married to <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_spouse var_uri  brack_close
How high is the <A>?,SELECT DISTINCT var_num WHERE brack_open  <A> dbo_height var_num  brack_close
How deep is Lake Placid?,SELECT DISTINCT var_n WHERE brack_open  dbr_Lake_Placid_(Texas) dbo_maximumDepth var_n  brack_close
Show me all museums in <A>.,SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_Museum ; dbo_location <A>  brack_close
Which caves have more than 3 entrances?,SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_Cave ; dbp_entranceCount var_entrance FILTER ( var_entrance  3 )  brack_close
Who is the tallest player of the <A>?,SELECT DISTINCT var_uri WHERE brack_open  var_uri dbo_team <A> ; dbo_height var_h  brack_close ORDER BY DESC(var_h) OFFSET 0 LIMIT 1
What are the top-10 action role-playing video games according to IGN?,SELECT DISTINCT var_uri WHERE brack_open  var_uri dct_subject dbc_Action_role-playing_video_games ; dbp_ign var_score  brack_close ORDER BY DESC(var_score) LIMIT 10
Give me all writers that won the <A> in literature.,SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_Writer ; dbo_award <A>  brack_close
Show me all basketball players that are higher than 2 meters.,SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_BasketballPlayer ; dbo_height var_n FILTER ( var_n  2.0 )  brack_close
When was the <A> of Liberty built?,SELECT DISTINCT var_date WHERE brack_open  <A>>_of_Liberty dbp_beginningDate var_date  brack_close
Which states border <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbp_borderingstates var_uri  brack_close
Who developed <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_developer var_uri  brack_close
Where did <A> die?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_deathPlace var_uri  brack_close
What movies does <A> play in?,SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_Film ; dbo_starring <A>  brack_close
Give all swimmers that were born in <A>.,SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_Swimmer ; dbo_birthPlace <A>  brack_close
Give me all cosmonauts.,SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_Astronaut brack_open  var_uri dbo_nationality dbr_Russia  brack_close UNION brack_open  var_uri dbo_nationality dbr_Soviet_Union  brack_close  brack_close
Give me all <A> <A>.,SELECT DISTINCT var_uri WHERE brack_open  var_uri dbo_type <A> brack_open  var_uri dbo_location <A>  brack_close UNION brack_open  var_uri dbo_location var_x sep_dot var_x dbo_country <A>  brack_close  brack_close
Which presidents were born in 1945?,"SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_President ; dbo_birthDate var_date FILTER regex(var_date, ""^1945"")  brack_close"
What kind of music did <A> play?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_genre var_uri  brack_close
Where do the <A> play?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbp_ballpark var_uri  brack_close
Which volcanos in <A> erupted since 2000?,SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_Volcano ; dbo_locatedInArea <A> ; dbo_eruptionYear var_date FILTER ( year(var_date) >= 2000 )  brack_close
Which bridges cross the <A>?,SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_Bridge ; dbo_crosses <A>  brack_close
What is the official color of the <A> of Oxford?,SELECT DISTINCT var_string WHERE brack_open  <A>>_of_Oxford dbo_officialSchoolColour var_string  brack_close
How many films did <A> produce?,SELECT (COUNT(DISTINCT var_uri) AS var_c) WHERE brack_open  var_uri dbo_producer <A>  brack_close
Give me all <A> movies.,SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_Film ; dbo_country <A>  brack_close
What is the most frequent cause of death?,SELECT DISTINCT var_x WHERE brack_open  var_uri dbo_deathCause var_x sep_dot  brack_close ORDER BY DESC(COUNT(DISTINCT var_uri)) OFFSET 0 LIMIT 1
Who are the four youngest MVP basketball players?,"SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_BasketballPlayer ; dbo_birthDate var_date ; dbp_highlights var_h FILTER regex(var_h, ""MVP"")  brack_close ORDER BY DESC(var_date) OFFSET 0 LIMIT 4"
Give me all companies in <A>.,SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_Company brack_open  var_uri dbo_location <A>  brack_close UNION brack_open  var_uri dbo_headquarter <A>  brack_close UNION brack_open  var_uri dbo_locationCity <A>  brack_close  brack_close
How many movies did <A> direct?,SELECT COUNT(DISTINCT var_uri AS var_uri) WHERE brack_open  var_uri dbo_director <A> sep_dot  brack_close
Which rivers flow into a <A> lake?,SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_River sep_dot var_x dbo_inflow var_uri ; a dbo_Lake ; dbo_country <A>  brack_close
How many airlines are there?,SELECT (COUNT(DISTINCT var_uri) AS var_c) WHERE brack_open  var_uri a dbo_Airline  brack_close
Give me all islands that belong to <A>.,SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_Island ; dbo_country <A>  brack_close
How many inhabitants does <A> have?,SELECT DISTINCT var_num WHERE brack_open  <A> dbo_populationBlank var_num  brack_close
Give me all <A> astronauts.,SELECT DISTINCT var_uri WHERE brack_open  var_uri dbo_mission <A>  brack_close
Which companies have more than 1 million employees?,SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_Company brack_open  var_uri dbo_numberOfEmployees var_n  brack_close UNION brack_open  var_uri dbp_numEmployees var_n  brack_close FILTER ( var_n  1000000 )  brack_close
In which films directed by <A> was <A> starring?,SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_Film ; dbo_starring <A> ; dbo_director <A>  brack_close
Give me all soccer clubs in the <A>.,SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_SoccerClub ; dbo_league <A>  brack_close
What is the highest place of the <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbp_highest var_uri  brack_close
Who is the governor of <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbp_governor var_uri  brack_close
Where did the architect of the <A> study?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_architect var_x sep_dot var_x dbp_almaMater var_uri  brack_close
Give me all world heritage sites designated within the past two years.,SELECT DISTINCT var_uri WHERE brack_open  var_uri rdf_type dbo_WorldHeritageSite sep_dot brack_open  var_uri dbp_year '2020'^^xsd:integer sep_dot  brack_close UNION brack_open  var_uri dbp_year '2021'^^xsd:integer sep_dot  brack_close  brack_close
Give me all actors who were born in <A> after 1950.,SELECT DISTINCT var_uri WHERE brack_open  var_uri rdf_type dbo_Actor sep_dot var_uri dbo_birthPlace <A> sep_dot var_uri dbo_birthDate var_date sep_dot FILTER ( var_date >= 1950)  brack_close
Which movies star both <A> and <A>?,SELECT DISTINCT var_uri WHERE brack_open  var_uri dbo_starring <A> ; dbo_starring <A>  brack_close
Give me all Australian <A>.,SELECT DISTINCT var_uri WHERE brack_open  var_uri dbo_type <A> brack_open  var_uri dbo_locationCountry dbr_Australia  brack_close UNION brack_open  var_uri dbo_location var_x sep_dot var_x dbo_country dbr_Australia  brack_close  brack_close
Which <A> succeeded John Paul II?,SELECT DISTINCT var_uri WHERE brack_open  <A>>_John_Paul_II dbp_successor var_uri  brack_close
Give me all <A> astronauts.,SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_Astronaut ; dbp_type <A>  brack_close
Who was president of Pakistan in 1978?,SELECT DISTINCT var_uri WHERE brack_open  var_uri dbp_title dbr_President_of_Pakistan ; dbp_years 1978  brack_close
Who is the owner of Rolls-Royce?,SELECT DISTINCT var_uri WHERE brack_open  dbr_Rolls-Royce_Motors dbo_owner var_uri  brack_close
How many museums does <A> have?,SELECT (COUNT(DISTINCT var_uri)) WHERE brack_open  var_uri a dbo_Museum ; dbo_location <A>  brack_close
Where was <A> assassinated?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_deathPlace var_uri  brack_close
Give me all federal <A> of Germany.,"SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_Person brack_open  var_uri dbo_office ""Chancellor of Germany""  brack_close UNION brack_open  var_uri dbp_office <A>  brack_close  brack_close"
Show me everyone who was born on <A>.,SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_Person brack_open  var_uri dbo_birthDate var_date  brack_close UNION brack_open  var_uri dbp_birthDate var_date  brack_close <A> dbp_date var_date  brack_close
Which <A> originated in <A>?,SELECT DISTINCT var_uri WHERE brack_open  var_uri dbp_type <A> ; dbo_origin <A>  brack_close
To which countries does the <A> system extend?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_country var_uri  brack_close
How many employees does <A> have?,SELECT DISTINCT var_number WHERE brack_open  <A> dbo_numberOfEmployees var_number  brack_close
List all episodes of the first season of the HBO television series <A>!,SELECT DISTINCT var_uri WHERE brack_open  var_uri dbp_series <A> ; dbp_season 1  brack_close
What does ICRO stand for?,"SELECT DISTINCT var_uri WHERE brack_open  var_uri dbo_abbreviation ""ICRO""  brack_close"
Does the new <A> series have more episodes than the old one?,ASK WHERE brack_open  <A>>_%281978_TV_series%29 dbo_numberOfEpisodes var_x sep_dot <A>>_%282004_TV_series%29 dbo_numberOfEpisodes var_y FILTER ( var_y  var_x )  brack_close
Give me all films produced by <A>.,SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_Film ; dbo_producer <A>  brack_close
Who played <A> in Matrix?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_portrayer var_uri  brack_close
Which Greek parties are <A>?,SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_PoliticalParty ; dbo_country dbr_Greece ; dbo_ideology <A>  brack_close
Give me a list of all <A> that play <A>.,SELECT DISTINCT var_uri WHERE brack_open  var_uri dbo_occupation <A> ; dbo_instrument <A>  brack_close
Is Egypts largest city also its capital?,ASK WHERE brack_open  dbr_Egypt dbo_largestCity var_large ; dbo_capital var_capital FILTER ( var_large = var_capital )  brack_close
Which rockets were launched from <A>?,SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_Rocket ; dbo_launchSite <A>  brack_close
How many programming languages are there?,SELECT (COUNT(DISTINCT var_uri) AS var_c) WHERE brack_open  var_uri a dbo_ProgrammingLanguage  brack_close
Which Chess players died in the same place they were born in?,SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_ChessPlayer ; dbo_birthPlace var_x ; dbo_deathPlace var_y FILTER ( var_x = var_y )  brack_close
Who is the owner of <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbp_founder var_uri  brack_close
Give me all movies with <A>.,SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_Film ; dbo_starring <A>  brack_close
In which <A> state is <A> located?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_location var_uri sep_dot var_uri dbo_country <A>  brack_close
Give me all cities in <A> with more than 100000 inhabitants.,SELECT DISTINCT var_uri WHERE brack_open  var_uri rdf_type dbo_City ; dbo_subdivision <A> ; dbo_populationTotal var_inhabitants FILTER ( var_inhabitants  100000 )  brack_close
Which mountains are higher than the <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_elevation var_elevation sep_dot var_uri a dbo_Mountain brack_open  var_uri dbo_elevation var_otherelevation  brack_close UNION brack_open  var_uri dbp_elevationM var_otherelevation  brack_close FILTER ( var_otherelevation  var_elevation )  brack_close
What are the specialities of the <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbp_speciality var_uri  brack_close
When was <A> shot?,SELECT DISTINCT var_date WHERE brack_open  <A> dbo_deathDate var_date  brack_close
List the seven kings of Rome.,SELECT DISTINCT var_uri WHERE brack_open  var_uri dbp_title dbr_King_of_Rome  brack_close
Give me all people that were born in <A> and died in <A>.,SELECT DISTINCT var_uri WHERE brack_open  var_uri dbo_birthPlace <A> ; dbo_deathPlace <A>  brack_close
Is <A> <A>’s father?,ASK WHERE brack_open  <A> dbo_child <A>  brack_close
Show me all the breweries in <A>.,SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_Brewery brack_open  var_uri dbo_location <A>  brack_close UNION brack_open  var_uri dbo_location var_x sep_dot var_x dbo_country <A>  brack_close  brack_close
Give me all films produced by <A> with a budget of at least $80 million.,SELECT DISTINCT var_uri WHERE brack_open  var_uri rdf_type dbo_Film sep_dot var_uri dbo_director <A> sep_dot var_uri dbo_budget var_b sep_dot FILTER( xsd:double(var_b) >= 8.0E7 )  brack_close
Give me all soccer clubs in <A>.,"SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_SoccerClub brack_open  var_uri dbo_ground <A>  brack_close UNION brack_open  var_uri dbp_ground var_ground FILTER regex(var_ground, ""Spain"")  brack_close  brack_close"
Who produced films starring <A>?,SELECT DISTINCT var_uri WHERE brack_open  var_film a dbo_Film ; dbo_starring <A> ; dbo_producer var_uri  brack_close
Give me all breeds of the <A> dog.,SELECT DISTINCT var_uri WHERE brack_open  var_uri dbp_breed <A>  brack_close
Who is the heaviest player of the <A>?,SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_Person ; dbo_weight var_num brack_open  var_uri dbp_team <A>  brack_close UNION brack_open  var_uri dbp_draftTeam <A>  brack_close UNION brack_open  var_uri dbo_draftTeam <A>  brack_close  brack_close ORDER BY DESC(var_num) OFFSET 0 LIMIT 1
Which languages are spoken in <A>?,SELECT DISTINCT var_uri WHERE brack_open  var_uri dbo_spokenIn <A>  brack_close
What is the largest country in the world?,SELECT DISTINCT var_uri WHERE brack_open  var_uri rdf_type dbo_Country ; dbo_area var_n  brack_close ORDER BY DESC(var_n) OFFSET 0 LIMIT 1
What is the largest city in america?,SELECT var_lcity WHERE brack_open  dbr:United_States dbo_largestCity var_lcity  brack_close
Who was the pope that founded the Vatican Television?,SELECT var_uri WHERE brack_open  var_uri rdf_type dbo_Pope sep_dot dbr_Vatican_Media dbo_foundedBy var_uri  brack_close
Who discovered <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_discoverer var_uri  brack_close
Who is the <A> of the Netherlands?,SELECT DISTINCT var_uri WHERE brack_open  <A>>dom_of_the_Netherlands dbp_leaderName var_uri  brack_close OFFSET 0 LIMIT 1
Is <A> a beverage?,ASK WHERE brack_open  <A> rdf_type dbo_Beverage  brack_close
What is the alma mater of the chancellor of Germany Angela Merkel?,SELECT var_Almamater WHERE brack_open  dbr:Angela_Merkel dbo_almaMater var_Almamater  brack_close
Who wrote the book Les Piliers de la terre?,SELECT DISTINCT var_uri WHERE brack_open  dbr_The_Pillars_of_the_Earth dbo_author var_uri  brack_close
Which airports does <A> serve?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_targetAirport var_uri  brack_close
Where is the birthplace of Goethe?,SELECT var_Goethe WHERE brack_open  dbr:Johann_Wolfgang_von_Goethe dbo_birthPlace var_Goethe  brack_close
Was the <A> earlier than the <A> of Pigs Invasion?,ASK WHERE brack_open  <A> dbo_date var_x sep_dot <A>>_of_Pigs_Invasion dbo_date var_y FILTER ( var_x  var_y )  brack_close
Which ingredients do I need for <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_ingredient var_uri  brack_close
Who created <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbp_authors var_uri  brack_close
Which actors were born in <A>?,SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_Actor brack_open  var_uri dbo_birthPlace <A>  brack_close UNION brack_open  var_uri dbo_birthPlace var_place sep_dot var_place dbo_country <A>  brack_close  brack_close
How much carbs does <A> have?,SELECT DISTINCT var_carbs WHERE brack_open  <A> dbp_carbs var_carbs  brack_close
Who produced the most films?,SELECT DISTINCT var_uri WHERE brack_open  var_film rdf_type dbo_Film sep_dot var_film dbo_producer var_uri sep_dot  brack_close ORDER BY DESC(COUNT(var_film)) OFFSET 0 LIMIT 1
How many employees does <A> have?,SELECT DISTINCT var_num WHERE brack_open  <A> dbo_numberOfEmployees var_num  brack_close
Give me all actors who were born in <A>.,SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_Actor ; dbo_birthPlace <A>  brack_close
Who created <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_creator var_uri  brack_close
Which music albums contain the song Last Christmas?,"SELECT DISTINCT var_uri WHERE brack_open  var_single dbo_album var_uri ; rdfs_label ""Last Christmas""@en  brack_close"
When was <A> admitted as province?,SELECT DISTINCT var_date WHERE brack_open  <A> dbp_admittancedate var_date  brack_close
How many missions does the <A> have?,SELECT (COUNT(DISTINCT var_uri) AS var_c) WHERE brack_open  var_uri dbp_programme <A>  brack_close
Give me all the TV shows with Neil Patrick Harris.,SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_TelevisionShow ; dbo_starring dbr_Neil_Patrick_Harris  brack_close
When were the <A> founded?,SELECT DISTINCT var_date WHERE brack_open  <A> dbp_founded var_date  brack_close
What is the net income of <A>?,SELECT DISTINCT var_ni WHERE brack_open  <A> dbo_netIncome var_ni  brack_close
Give me all <A> holidays.,SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_Holiday ; dbo_country <A>  brack_close
In which city was the former Dutch <A> buried?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbp_burialPlace var_uri  brack_close
List all the musicals with music by <A>.,SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_Musical ; dbo_musicBy <A>  brack_close
Give me all companies in the <A>.,"SELECT DISTINCT var_uri AS var_c WHERE brack_open  var_uri a dbo_Company brack_open  var_uri dbo_industry <A>  brack_close UNION brack_open  var_uri dbo_industry var_industry FILTER regex(var_industry, ""advertising"", ""i"")  brack_close  brack_close"
What is the largest metropolitan area in <A> state?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbp_largestmetro var_uri  brack_close
Who killed John Lennon?,SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_Person ; dbp_conviction dbr_Murder_of_John_Lennon  brack_close
Which writers studied in <A>?,SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_Writer brack_open  var_uri dbo_almaMater var_x  brack_close UNION brack_open  var_uri dbo_education var_x  brack_close brack_open  var_x dbo_city <A>  brack_close UNION brack_open  var_x dbp_city <A>  brack_close  brack_close
Give me all Australian <A> bands.,SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_Band ; dbo_genre <A> brack_open  var_uri dbo_hometown dbr_Australia  brack_close UNION brack_open  var_uri dbo_hometown var_h sep_dot var_h dbo_country dbr_Australia  brack_close  brack_close
Which countries adopted the <A>?,"SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_Country brack_open  var_uri dbo_currency <A>  brack_close UNION brack_open  var_uri dbp_currencyCode ""EUR""@en  brack_close  brack_close"
Give me all types of eating disorders.,SELECT DISTINCT var_uri WHERE brack_open  var_uri a http://dbpedia.org/class/yago/WikicatEatingDisorders  brack_close
Was <A> a jew?,"ASK WHERE brack_open  <A> dbp_ethnicity ""Jewish""@en  brack_close"
What was <A>'s lowest rank in the FIFA World Ranking?,SELECT DISTINCT var_n WHERE brack_open  <A>>_national_football_team dbp_fifaMin var_n  brack_close
How many films did <A> star in?,SELECT (COUNT(DISTINCT var_uri) AS var_c) WHERE brack_open  var_uri a dbo_Film ; dbo_starring <A>  brack_close
Was <A> a <A>?,ASK WHERE brack_open  <A> dbo_occupation <A>  brack_close
Which U.S. states are in the same time zone as <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbp_timezone var_x sep_dot var_uri a http://dbpedia.org/class/yago/WikicatStatesOfTheUnitedStates ; dbp_timezone var_x FILTER ( var_uri != <A> )  brack_close
Give me all books written by <A>.,SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_Book ; dbo_author <A>  brack_close
What is the second highest mountain on Earth?,SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_Mountain ; dbo_elevation var_elevation  brack_close ORDER BY DESC(var_elevation) OFFSET 1 LIMIT 1
Give me all B-sides of the Ramones.,SELECT DISTINCT var_string WHERE brack_open  var_x dbo_musicalArtist dbr_Ramones ; dbo_bSide var_string  brack_close
What is the highest mountain in Saxony Germany?,SELECT var_m WHERE brack_open  var_m dbo_mountainRange dbr:Ore_Mountains ; dbo_elevation var_height  brack_close ORDER BY DESC(var_height) LIMIT 1
when was the founding date of french fifth republic?,SELECT var_ff WHERE brack_open  dbr:French_Fifth_Republic dbo_foundingDate var_ff  brack_close
What is the longest river in the world?,SELECT var_uri WHERE brack_open  var_uri rdf_type dbo_BodyOfWater ; dbo_length var_length  brack_close ORDER BY DESC(var_length) LIMIT 1
Does the <A> flow into a lake?,ASK WHERE brack_open  var_x dbo_inflow <A> ; rdf_type dbo_Lake  brack_close
Which species does an elephant belong?,SELECT var_species WHERE brack_open  dbr:Elephant dbp_species var_species  brack_close
Who are the writers of the Wall album of Pink Floyd?,SELECT var_writers WHERE brack_open  dbr:The_Wall dbp_writer var_writers  brack_close
What is the total amount of men and women serving in the <A>?,SELECT DISTINCT var_num WHERE brack_open  <A> dbp_employees var_num  brack_close
Who is the tallest basketball player?,SELECT DISTINCT var_uri WHERE brack_open  var_uri rdf_type dbo_BasketballPlayer ; dbo_height var_num  brack_close ORDER BY DESC(var_num) OFFSET 0 LIMIT 1
Which actor played <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_portrayer var_uri  brack_close
Give me all libraries established earlier than 1400.,SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_Library ; dbp_established var_year FILTER ( var_year  1400 )  brack_close
Which programming languages were influenced by <A>?,SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_ProgrammingLanguage brack_open  var_uri dbo_influencedBy <A>  brack_close UNION brack_open  <A> dbo_influenced var_uri  brack_close  brack_close
Which building after the <A> has the most floors?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_floorCount var_burj sep_dot var_uri rdf_type dbo_Building ; dbo_floorCount var_proj FILTER ( var_proj  var_burj )  brack_close ORDER BY DESC(var_proj) LIMIT 1
What was the final result of the War of the Roses?,SELECT DISTINCT var_result WHERE brack_open  var_uri dbo_isPartOfMilitaryConflict dbr:Wars_of_the_Roses ; dbo_result var_result ; dbo_date var_date  brack_close ORDER BY DESC(var_date) OFFSET 0 LIMIT 1
In which U.S. state is Mount McKinley located?,SELECT DISTINCT var_uri WHERE brack_open  dbr_Mount_McKinley dbo_wikiPageRedirects var_x sep_dot var_x dbo_locatedInArea var_uri. var_uri rdf_type yago:WikicatStatesOfTheUnitedStates  brack_close
What airlines are part of the <A> alliance?,SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_Airline brack_open  var_uri dbo_alliance <A>  brack_close UNION brack_open  var_uri dbo_Alliance <A>  brack_close  brack_close
Which ships were called after <A>?,SELECT DISTINCT var_uri WHERE brack_open  var_uri dbp_shipNamesake <A>  brack_close
Give me all <A> politicians.,SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_Politician ; dbo_religion <A>  brack_close
Who is the mayor of <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_leaderName var_uri  brack_close
What other books have been written by the author of The Fault in Our Stars?,SELECT var_books WHERE brack_open  var_books dbo_author dbr_John_Green_(author)  brack_close
How tall is <A>?,SELECT DISTINCT var_height WHERE brack_open  <A> dbo_height var_height  brack_close
Give me all <A> <A>.,SELECT DISTINCT var_uri WHERE brack_open  var_uri dbo_field <A> ; dbo_birthPlace <A>  brack_close
What is the bridge with the longest span?,SELECT DISTINCT var_uri WHERE brack_open  var_uri rdf_type dbo_Bridge ; dbo_mainspan var_s  brack_close ORDER BY DESC(var_s) OFFSET 0 LIMIT 1
Who was buried in the Great Pyramid of Giza?,SELECT var_uri WHERE brack_open  var_uri dbo_restingPlace dbr:Great_Pyramid_of_Giza  brack_close
What did <A> die from?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_deathCause var_uri  brack_close
Which subsidiary of <A> serves both <A> and <A> Tegel?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_subsidiary var_uri sep_dot var_uri dbo_targetAirport <A>>_Airport ; dbo_targetAirport <A>>_Tegel_Airport  brack_close
In which city does <A> live?,SELECT DISTINCT var_uri WHERE brack_open  var_uri rdf_type dbo_City sep_dot <A> dbo_residence var_uri  brack_close
What is the highest mountain?,SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_Mountain ; dbo_elevation var_elevation  brack_close ORDER BY DESC(var_elevation) OFFSET 0 LIMIT 1
Which <A> wrote the most books?,SELECT DISTINCT var_uri WHERE brack_open  var_uri dbo_occupation <A> sep_dot var_x dbo_author var_uri sep_dot var_x rdf_type dbo_Book sep_dot  brack_close ORDER BY DESC(COUNT(var_x)) OFFSET 0 LIMIT 1
Which programming languages influenced <A>?,SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_ProgrammingLanguage ; dbo_influenced <A>  brack_close
Which <A> wrote the most books?,SELECT DISTINCT var_uri WHERE brack_open  var_uri dbo_occupation <A> sep_dot var_x dbo_author var_uri sep_dot var_x rdf_type dbo_Book sep_dot  brack_close ORDER BY DESC(COUNT(var_x)) OFFSET 0 LIMIT 1
Which films starring <A> did he direct himself?,SELECT DISTINCT var_uri WHERE brack_open  var_uri dbo_director <A> ; dbo_starring <A>  brack_close
Which software has been developed by organizations founded in <A>?,SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_Software sep_dot var_company a dbo_Company sep_dot var_uri dbo_developer var_company sep_dot var_company dbp_foundation <A>  brack_close
