"Text", "Query"
"Who currently operates the railway lines one of whose stockholder is <A> ?","SELECT DISTINCT var_uri WHERE brack_open var_x dbp_owner <A> sep_dot var_x dbo_operatedBy var_uri  sep_dot var_x rdf_type dbo_RailwayLine brack_close"
In which city is the distributor of <A> located ?,SELECT DISTINCT var_uri WHERE brack_open <A> dbp_distributor var_x sep_dot var_x dbo_locationCity var_uri  sep_dot brack_close
How many services does the company who made <A> provide?,SELECT DISTINCT COUNT(var_uri) WHERE brack_open var_x dbo_service <A> sep_dot var_x dbp_services var_uri  sep_dot brack_close
Count the different religions practiced by people who are in <A> .,SELECT DISTINCT COUNT(var_uri) WHERE brack_open var_x dbo_party <A> sep_dot var_x dbo_religion var_uri  sep_dot brack_close
List all those whose relatives' nationality is <A>.,SELECT DISTINCT var_uri WHERE brack_open var_x dbp_nationality <A> sep_dot var_uri dbo_relative var_x  sep_dot brack_close
What is the genre of <A>?, SELECT DISTINCT var_uri WHERE brack_open <A> dbp_genre var_uri brack_close 
<A> is the leader title of which country?,SELECT DISTINCT var_uri WHERE brack_open var_uri dbp_leaderTitle <A> sep_dot var_uri rdf_type dbo_Country brack_close
Whose associate is Publius Servilius Vatia Isauricus and has predecessor as Lucius Cornelius Lentulus Crus?,SELECT DISTINCT var_uri WHERE brack_open var_uri dbo_associate dbr_Publius_Servilius_Vatia_Isauricus_(consul_48_BC) sep_dot var_uri dbo_predecessor dbr_Lucius_Cornelius_Lentulus_Crus  sep_dot brack_close
What is the style of architecture of <A> ?, SELECT DISTINCT var_uri WHERE brack_open <A> dbo_architecturalStyle var_uri brack_close 
Which basketball players have played in the league of <A>?,SELECT DISTINCT var_uri WHERE brack_open var_uri dbo_league <A>  sep_dot var_uri rdf_type dbo_BasketballPlayer brack_close
Is <A> the superintendent of <A>?,ASK WHERE brack_open <A> dbp_superintendent <A> brack_close
<A> wrote how many screenplays?,SELECT DISTINCT COUNT(var_uri) WHERE brack_open var_uri dbp_screenplay <A>  sep_dot brack_close
Which alma mater of <B> is also the training center of <A> ?, SELECT DISTINCT var_uri WHERE brack_open <A> dbo_training var_uri sep_dot <B> dbo_almaMater var_uri brack_close
Who were the opponents of the people buried in the <A> ?,SELECT DISTINCT var_uri WHERE brack_open var_x dbp_restingPlace <A> sep_dot var_x dbo_opponent var_uri  sep_dot var_x rdf_type dbo_Person brack_close
What is the record label of <B> and also the  label of the <A>?, SELECT DISTINCT var_uri WHERE brack_open <B> dbo_recordLabel var_uri sep_dot <A> dbp_label var_uri brack_close
Which country were the associates of <A> from?,SELECT DISTINCT var_uri WHERE brack_open <A> dbo_associate var_x sep_dot var_x dbo_nationality var_uri  sep_dot brack_close
Name the line of the <A> which is also the  hub airport of the <B>?, SELECT DISTINCT var_uri WHERE brack_open <A> dbp_line var_uri sep_dot <B> dbo_hubAirport var_uri brack_close
Name the scientist who become the part of <A> and had academic advisor as <B>?,SELECT DISTINCT var_uri WHERE brack_open var_uri dbp_prizes <A> sep_dot var_uri dbo_academicAdvisor <B>  sep_dot var_uri rdf_type dbo_Scientist brack_close
Where is the tombstone of the successor of <A> ?,SELECT DISTINCT var_uri WHERE brack_open <A> dbp_successor var_x sep_dot var_x dbo_restingPlace var_uri  sep_dot brack_close
In how many places did <A> die?,SELECT DISTINCT COUNT(var_uri) WHERE brack_open var_x dbo_militaryRank <A> sep_dot var_x dbp_placeOfDeath var_uri  sep_dot var_uri rdf_type dbo_Place brack_close
How many members are there of the organization headquartered at <A>?,SELECT DISTINCT COUNT(var_uri) WHERE brack_open var_x dbp_headquarters <A> sep_dot var_x dbp_membership var_uri  sep_dot brack_close
Name the scientist who was the winner of <A> award and had <B> as his doctoral advisor ?,SELECT DISTINCT var_uri WHERE brack_open var_uri dbp_prizes <A> sep_dot var_uri dbp_doctoralAdvisor <B>  sep_dot var_uri rdf_type dbo_Scientist brack_close
What are the nearest city to the historic places whose one of the nearest city is <A>?,SELECT DISTINCT var_uri WHERE brack_open var_x dbo_nearestCity <A> sep_dot var_x dbp_nearestCity var_uri  sep_dot var_x rdf_type dbo_HistoricPlace brack_close
Who is the producer of <A> ?, SELECT DISTINCT var_uri WHERE brack_open <A> dbp_producer var_uri brack_close 
List the subjects of the books whose one of the topics is Pau <A> ?,SELECT DISTINCT var_uri WHERE brack_open var_x dbp_subject <A> sep_dot var_x dbp_subject var_uri  sep_dot var_x rdf_type dbo_Book brack_close
Where did the conflict take place in which <A> fought?,SELECT DISTINCT var_uri WHERE brack_open <A> dbo_battle var_x sep_dot var_x dbo_territory var_uri  sep_dot brack_close
Where did the aristocrats die whose mother was <A> ?,SELECT DISTINCT var_uri WHERE brack_open var_x dbp_mother <A> sep_dot var_x dbp_deathPlace var_uri  sep_dot var_x rdf_type dbo_Royalty brack_close
Is NY Rangers a prospective team for <A> ?,ASK WHERE brack_open <A> dbo_prospectTeam dbr_New_York_Rangers brack_close
Is the <A> chaired by <B>?,ASK WHERE brack_open <A> dbo_chairman <B> brack_close
Which company manufactures cars like the <A> ?,SELECT DISTINCT var_uri WHERE brack_open var_x dbp_related <A> sep_dot var_x dbp_parentCompany var_uri  sep_dot var_x rdf_type dbo_Automobile brack_close
Who are the major stockholders of the bank which is the company of <A> ?,SELECT DISTINCT var_uri WHERE brack_open <A> dbp_company var_x sep_dot var_x dbp_owner var_uri  sep_dot var_x rdf_type dbo_Bank brack_close
List all crafts of the people whose one of the profession is <A>?,SELECT DISTINCT var_uri WHERE brack_open var_x dbo_occupation <A> sep_dot var_x dbo_occupation var_uri  sep_dot var_x rdf_type dbo_Person brack_close
Name a <A> whose resting place is Montpelier ?,"SELECT DISTINCT var_uri WHERE brack_open var_uri dbp_rank <A> sep_dot var_uri dbp_restingplace dbr_Montpelier_(Orange,_Virginia)  sep_dot brack_close"
What are some developers which use Emacs <A> in their projects?,SELECT DISTINCT var_uri WHERE brack_open var_x dbp_programmingLanguage <A> sep_dot var_x dbo_developer var_uri  sep_dot brack_close
Whose deputy was <A>?, SELECT DISTINCT var_uri WHERE brack_open var_uri dbp_deputy <A> brack_close 
Current players of <A> have previously played for how many different teams?,SELECT DISTINCT COUNT(var_uri) WHERE brack_open var_x dbo_team <A> sep_dot var_x dbo_formerTeam var_uri  sep_dot var_uri rdf_type dbo_SportsTeam brack_close
List the books whose authors are in <A> .,SELECT DISTINCT var_uri WHERE brack_open var_x dbo_birthPlace <A> sep_dot var_uri dbo_author var_x  sep_dot var_uri rdf_type dbo_Book brack_close
Name the common current team of the <A> and Kaannder ?,SELECT DISTINCT var_uri WHERE brack_open <A> dbp_currentTeam var_uri sep_dot dbr_Kaan_Önder dbp_currentTeam var_uri sep_dot brack_close
Who is the stockholder of <A> ?, SELECT DISTINCT var_uri WHERE brack_open <A> dbp_owner var_uri brack_close 
To which counties do <A> avenue and <B> belong?,SELECT DISTINCT var_uri WHERE brack_open <A>_Avenue dbp_counties var_uri sep_dot <B> dbp_counties var_uri sep_dot brack_close
Give me the total number of architect of the buildings whose one of the  architect was <A> ?, SELECT DISTINCT COUNT(var_uri) WHERE brack_open var_x dbp_architect <A> sep_dot var_x dbp_architect var_uri brack_close
Which basketball team's president studied in the <A>?,SELECT DISTINCT var_uri WHERE brack_open var_x dbo_college <A> sep_dot var_uri dbp_president var_x  sep_dot var_uri rdf_type dbo_BasketballTeam brack_close
In which races does <A> compete?, SELECT DISTINCT var_uri WHERE brack_open <A> dbp_race var_uri brack_close 
What awards have been given to some <A>?,SELECT DISTINCT var_uri WHERE brack_open var_x dbo_occupation <A> sep_dot var_x dbo_award var_uri  sep_dot brack_close
List the saints venerated in Islam having major shrine as <A> ?,SELECT DISTINCT var_uri WHERE brack_open var_uri dbp_majorShrine <A> sep_dot var_uri dbo_veneratedIn dbr_Islam  sep_dot var_uri rdf_type dbo_Saint brack_close
Which tema did <B> played for which is also the drafty team of <A> ?, SELECT DISTINCT var_uri WHERE brack_open <A> dbo_draftTeam var_uri sep_dot <B> dbp_playedFor var_uri brack_close
List the total number of executive producer of TV show which have one of the executiive producer as <A> ?, SELECT DISTINCT COUNT(var_uri) WHERE brack_open var_x dbo_executiveProducer <A> sep_dot var_x dbp_executiveProducer var_uri brack_close
Whose songs are <A> and <B>?,SELECT DISTINCT var_uri WHERE brack_open <A> dbp_artist var_uri sep_dot <B> dbp_artist var_uri sep_dot brack_close
Name all those whose spouses have performed with <A>?,SELECT DISTINCT var_uri WHERE brack_open var_x dbo_associatedMusicalArtist <A> sep_dot var_uri dbo_spouse var_x  sep_dot brack_close
Name the company who owns <A> division?,SELECT DISTINCT var_uri WHERE brack_open var_uri dbp_divisions <A>  sep_dot var_uri rdf_type dbo_Company brack_close
How many religions have the relatives of <A> followed?,SELECT DISTINCT COUNT(var_uri) WHERE brack_open <A> dbp_related var_x sep_dot var_x dbo_religion var_uri  sep_dot brack_close
For which team does <A> play ?, SELECT DISTINCT var_uri WHERE brack_open <A> dbo_team var_uri brack_close 
What are the books written by the the person who made the <A>?,SELECT DISTINCT var_uri WHERE brack_open var_x dbo_notableWork <A> sep_dot var_uri dbo_author var_x  sep_dot var_uri rdf_type dbo_Book brack_close
Count the total number of battles fought by the military people which fought in <A> ?, SELECT DISTINCT COUNT(var_uri) WHERE brack_open var_x dbp_battles <A> sep_dot var_x dbp_battles var_uri brack_close
Matthew kane and <A> rankin are citizens of which country?,SELECT DISTINCT var_uri WHERE brack_open dbr_Matthew_Kane_(actor) dbo_citizenship var_uri sep_dot <A>_Rankin dbo_citizenship var_uri sep_dot brack_close
How many subjects have been covered in <A> novels?,SELECT DISTINCT COUNT(var_uri) WHERE brack_open var_x dbo_literaryGenre <A> sep_dot var_x dbo_nonFictionSubject var_uri  sep_dot brack_close
What is the television show whose theme music is by <A> ?,SELECT DISTINCT var_uri WHERE brack_open var_uri dbp_themeMusicComposer <A>  sep_dot var_uri rdf_type dbo_TelevisionShow brack_close
What was created by <A> and <B>?,SELECT DISTINCT var_uri WHERE brack_open var_uri dbo_creator <A> sep_dot var_uri dbo_creator <B> sep_dot brack_close
Was <B> written by <A>?,ASK WHERE brack_open <B> dbo_musicBy <A> brack_close
which person created <A> ?, SELECT DISTINCT var_uri WHERE brack_open <A> dbp_artist var_uri brack_close 
Who is the composer of <A> ?, SELECT DISTINCT var_uri WHERE brack_open <A> dbo_composer var_uri brack_close 
What is the county seat of the county which has an <A> ?,"SELECT DISTINCT var_uri WHERE brack_open <A> dbo_county var_x sep_dot var_x dbo_countySeat var_uri  sep_dot brack_close"
Which wars were fought by the commander whose deputy was <A> ?,SELECT DISTINCT var_uri WHERE brack_open var_x dbo_deputy <A> sep_dot var_uri dbo_commander var_x  sep_dot var_uri rdf_type dbo_MilitaryConflict brack_close
"Through which states does the road go, which has a junction on <A> ?","SELECT DISTINCT var_uri WHERE brack_open var_x dbo_routeJunction <A> sep_dot var_x dbo_state var_uri  sep_dot var_x rdf_type dbo_Road brack_close"
What did the people buried in <A> die of?,SELECT DISTINCT var_uri WHERE brack_open var_x dbp_restingPlace <A> sep_dot var_x dbo_deathCause var_uri  sep_dot brack_close
List the main ingredient of <A> ?, SELECT DISTINCT var_uri WHERE brack_open <A> dbp_mainIngredient var_uri brack_close 
List the work institute of the medicians who has also worked at <A> ?,SELECT DISTINCT var_uri WHERE brack_open var_x dbp_workInstitutions <A> sep_dot var_x dbp_workInstitutions var_uri  sep_dot var_x rdf_type dbo_Medician brack_close
How many people have trained the wrestlers who were billed in <A>?,SELECT DISTINCT COUNT(var_uri) WHERE brack_open var_x dbo_billed <A> sep_dot var_x dbo_trainer var_uri  sep_dot var_uri rdf_type dbo_Person brack_close
Which country did the prime minister belong to who was served by <A> ?,SELECT DISTINCT var_uri WHERE brack_open <A> dbp_primeminister var_x sep_dot var_x dbo_nationality var_uri  sep_dot brack_close
What faith do <A> and <B> follow?,SELECT DISTINCT var_uri WHERE brack_open <A> dbo_religion var_uri sep_dot <B> dbo_religion var_uri sep_dot brack_close
Which company ownes stock in Dagenham turbines and Ford Motor credit?,SELECT DISTINCT var_uri WHERE brack_open dbr_Ford_Motor_Credit_Company dbp_owner var_uri sep_dot dbr_Dagenham_wind_turbines dbp_owner var_uri sep_dot brack_close
Which shareholder of <A> is also the parent company of the Ford <A>?, SELECT DISTINCT var_uri WHERE brack_open <A> dbo_parentCompany var_uri sep_dot <A> dbp_owner var_uri brack_close
List the awards won by the cinematographer of <A> ?,SELECT DISTINCT var_uri WHERE brack_open <A> dbp_cinematography var_x sep_dot var_x dbo_award var_uri  sep_dot brack_close
tell me the school to which <A> went?, SELECT DISTINCT var_uri WHERE brack_open <A> dbp_education var_uri brack_close 
where did <A> originate?, SELECT DISTINCT var_uri WHERE brack_open <A> dbp_origin var_uri brack_close 
Who is the singer of the album which has a song <A> ?,SELECT DISTINCT var_uri WHERE brack_open <A> dbo_album var_x sep_dot var_x dbp_narrated var_uri  sep_dot var_x rdf_type dbo_Album brack_close
In how many different places can I fnd <A> Architectural buildings?,SELECT DISTINCT COUNT(var_uri) WHERE brack_open var_x dbp_architecturalStyle <A> sep_dot var_x dbp_address var_uri  sep_dot brack_close
Which sports are played in the alma mater of <A>?,SELECT DISTINCT var_uri WHERE brack_open <A> dbp_almaMater var_x sep_dot var_x dbo_sport var_uri  sep_dot brack_close
What are the houses of <A> ?, SELECT DISTINCT var_uri WHERE brack_open <A> dbp_houses var_uri brack_close 
Count the  origin of the beverages which have been originated in <A> /, SELECT DISTINCT COUNT(var_uri) WHERE brack_open var_x dbp_origin <A> sep_dot var_x dbp_origin var_uri brack_close
Count the number of people became famous for when <A> was a commander ?,SELECT DISTINCT COUNT(var_uri) WHERE brack_open var_x dbo_commander <A> sep_dot var_uri dbo_knownFor var_x  sep_dot brack_close
Who is the incumbent of <A> ?," SELECT DISTINCT var_uri WHERE brack_open <A> dbo_incumbent var_uri brack_close "
"Of the places where Kurt Vonnegut Memorial Library exists, where did <A> die?", SELECT DISTINCT var_uri WHERE brack_open dbr_Kurt_Vonnegut_Memorial_Library dbo_location var_uri sep_dot <A> dbp_placeOfDeath var_uri brack_close
What is the college of the basketball player who lives in <A> ?,SELECT DISTINCT var_uri WHERE brack_open var_x dbp_birthPlace <A> sep_dot var_x dbp_college var_uri  sep_dot var_x rdf_type dbo_BaseballPlayer brack_close
During the reigns of which monarchs was the name to the  <A> as United Monarch?, SELECT DISTINCT var_uri WHERE brack_open var_uri dbp_title <A> brack_close 
What is the person known for who is the movie director of <A> ?,SELECT DISTINCT var_uri WHERE brack_open <A> dbp_director var_x sep_dot var_x dbo_knownFor var_uri  sep_dot var_x rdf_type dbo_Person brack_close
What is the title of the successor of <A> ?,SELECT DISTINCT var_uri WHERE brack_open <A> dbp_successor var_x sep_dot var_x dbp_title var_uri  sep_dot brack_close
Name the river passing through <B> and has mouth place at <A> ?,"SELECT DISTINCT var_uri WHERE brack_open var_uri dbo_city <B> sep_dot var_uri dbo_mouthPlace <A>  sep_dot var_uri rdf_type dbo_River brack_close"
Which nation is the origin of <A> ?, SELECT DISTINCT var_uri WHERE brack_open <A> dbp_nationalOrigin var_uri brack_close 
Name some politicians buried in a place near <A> ?,"SELECT DISTINCT var_uri WHERE brack_open var_x dbp_nearestCity <A> sep_dot var_uri dbp_restingplace var_x  sep_dot var_uri rdf_type dbo_OfficeHolder brack_close"
Which writer of <A> is also the writer of <B> ?, SELECT DISTINCT var_uri WHERE brack_open <A> dbp_writers var_uri sep_dot <B> dbp_author var_uri brack_close
Which type of  building is <A> ?, SELECT DISTINCT var_uri WHERE brack_open <A> dbp_buildingType var_uri brack_close 
Who is the artist of the album which has the song <A> ?,SELECT DISTINCT var_uri WHERE brack_open <A> dbp_album var_x sep_dot var_x dbp_artist var_uri  sep_dot brack_close
Which city is the route start of the <B> and birth place of the <A> ?, SELECT DISTINCT var_uri WHERE brack_open <B> dbo_routeStart var_uri sep_dot <A> dbo_birthPlace var_uri brack_close
List TV shows with producer as <A> and company is <B> ?,SELECT DISTINCT var_uri WHERE brack_open var_uri dbo_company <B> sep_dot var_uri dbo_producer <A>  sep_dot var_uri rdf_type dbo_TelevisionShow brack_close
Which mountain range is the one with Ponte d'Aveneyre and Le <A>?,SELECT DISTINCT var_uri WHERE brack_open dbr_Pointe_d'Aveneyre dbo_mountainRange var_uri sep_dot <A> dbo_mountainRange var_uri sep_dot brack_close
In which cities do some railways operated by <A> start?,SELECT DISTINCT var_uri WHERE brack_open var_x dbo_operatedBy <A> sep_dot var_x dbo_routeStart var_uri  sep_dot brack_close
Collaborators of <A> have composed music for which movies?,SELECT DISTINCT var_uri WHERE brack_open var_x dbp_associatedActs <A> sep_dot var_uri dbo_musicComposer var_x  sep_dot var_uri rdf_type dbo_Film brack_close
In how many places are the tombs of everyone who died in <A>?,SELECT DISTINCT COUNT(var_uri) WHERE brack_open var_x dbp_placeOfDeath <A> sep_dot var_x dbp_placeOfBurial var_uri  sep_dot var_uri rdf_type dbo_Place brack_close
Where did the people beatified by <A> die?,SELECT DISTINCT var_uri WHERE brack_open var_x dbp_beatifiedBy <A> sep_dot var_x dbp_deathPlace var_uri  sep_dot var_x rdf_type dbo_Person brack_close
Name all the venues of the convention which has also been hosted in <A> ?,SELECT DISTINCT var_uri WHERE brack_open var_x dbp_venue <A> sep_dot var_x dbp_venue var_uri  sep_dot brack_close
<A> is the presenter of what TV show?,SELECT DISTINCT var_uri WHERE brack_open var_uri dbp_presenter <A>  sep_dot var_uri rdf_type dbo_TelevisionShow brack_close
What are the movies whose distributor's headquarters is <A> ?,SELECT DISTINCT var_uri WHERE brack_open var_x dbp_headquarters <A> sep_dot var_uri dbp_distributor var_x  sep_dot var_uri rdf_type dbo_Film brack_close
Count the different genres of music made by <A> bands?,SELECT DISTINCT COUNT(var_uri) WHERE brack_open var_x dbo_hometown <A> sep_dot var_x dbo_genre var_uri  sep_dot var_uri rdf_type dbo_MusicGenre brack_close
What beverage was launched by <A>?,SELECT DISTINCT var_uri WHERE brack_open var_uri dbp_creator <A>  sep_dot var_uri rdf_type dbo_Food brack_close
How many famous people are from the <A>?,SELECT DISTINCT COUNT(var_uri) WHERE brack_open var_uri dbo_stateOfOrigin <A>  sep_dot brack_close
How many people have managed a club which owns the <A>?,SELECT DISTINCT COUNT(var_uri) WHERE brack_open var_x dbp_ground <A> sep_dot var_uri dbo_managerClub var_x  sep_dot var_uri rdf_type dbo_Person brack_close
Who had  <A> and <B> as lieutenants ?,SELECT DISTINCT var_uri WHERE brack_open var_uri dbo_lieutenant <A> sep_dot var_uri dbo_lieutenant <B> sep_dot brack_close
Who was the parent of person whose child is <A> ?,SELECT DISTINCT var_uri WHERE brack_open var_x dbp_children <A> sep_dot var_x dbo_parent var_uri  sep_dot var_x rdf_type dbo_Person brack_close
Where are the burial grounds of <A> and <B>?,SELECT DISTINCT var_uri WHERE brack_open <A> dbp_restingplace var_uri sep_dot <B> dbp_restingplace var_uri sep_dot brack_close
Was <A> in the western australian parliament?,ASK WHERE brack_open <A> dbp_parliament dbr_Western_Australia brack_close
Through which states does the stream ending at <A> go?,SELECT DISTINCT var_uri WHERE brack_open var_x dbp_mouthLocation <A> sep_dot var_x dbo_state var_uri  sep_dot var_x rdf_type dbo_Stream brack_close
What are the school mascots in <A> ?,SELECT DISTINCT var_uri WHERE brack_open var_x dbp_district <A> sep_dot var_x dbp_mascot var_uri  sep_dot var_x rdf_type dbo_School brack_close
Which country has the <A> and the <B> winery ?,SELECT DISTINCT var_uri WHERE brack_open <A> dbp_locationCountry var_uri sep_dot <B> dbp_locationCountry var_uri sep_dot brack_close
Name the TV show broadcasted by <A> and presented by <A> ?,SELECT DISTINCT var_uri WHERE brack_open var_uri dbo_presenter <A> sep_dot var_uri dbo_channel <A>  sep_dot var_uri rdf_type dbo_TelevisionShow brack_close
Count the religions followed by people living in <A>.,SELECT DISTINCT COUNT(var_uri) WHERE brack_open var_x dbp_residence <A> sep_dot var_x dbp_religion var_uri  sep_dot brack_close
List some teammates of <A> ?,SELECT DISTINCT var_uri WHERE brack_open var_x dbo_currentMember <A> sep_dot var_x dbp_name var_uri  sep_dot brack_close
List the characters of <A> ?, SELECT DISTINCT var_uri WHERE brack_open <A> dbp_characters var_uri brack_close 
Is <A> the trainer of <B>?,ASK WHERE brack_open <B> dbo_trainer <A> brack_close
Which TV shows distributor is <A> and developed by <B> ?,SELECT DISTINCT var_uri WHERE brack_open var_uri dbp_developer <B> sep_dot var_uri dbo_distributor <A>  sep_dot var_uri rdf_type dbo_TelevisionShow brack_close
In how many districts is there a borough called <A>?,SELECT DISTINCT COUNT(var_uri) WHERE brack_open var_x dbp_borough <A> sep_dot var_x dbo_district var_uri  sep_dot brack_close
What games are played at universities in <A> Del Sur?,SELECT DISTINCT var_uri WHERE brack_open var_x dbo_state <A> sep_dot var_x dbo_athletics var_uri  sep_dot var_x rdf_type dbo_University brack_close
"For everyone who died in <A>, count their different fields of work.",SELECT DISTINCT COUNT(var_uri) WHERE brack_open var_x dbp_deathPlace <A> sep_dot var_x dbp_fields var_uri  sep_dot brack_close
What is the award won of the scientists known for <A>?,SELECT DISTINCT var_uri WHERE brack_open var_x dbp_knownFor <A> sep_dot var_x dbo_award var_uri  sep_dot var_x rdf_type dbo_Scientist brack_close
What is the meaning of <A> ?, SELECT DISTINCT var_uri WHERE brack_open <A> dbp_meaning var_uri brack_close 
Which composer subsequent work of <A> and also composed <B>?, SELECT DISTINCT var_uri WHERE brack_open <B> dbo_musicBy var_uri sep_dot <A> dbo_subsequentWork var_uri brack_close
On how many different grounds were seasons chaired by <A> held?,SELECT DISTINCT COUNT(var_uri) WHERE brack_open var_x dbo_chairman <A> sep_dot var_x dbo_ground var_uri  sep_dot brack_close
<A>  team is known as ?, SELECT DISTINCT var_uri WHERE brack_open <A> dbp_teamName var_uri brack_close 
<A> plays for the Ghana national team?,ASK WHERE brack_open <A> dbp_nationalteam dbr_Ghana brack_close
Where does the publisher of <A> live?,SELECT DISTINCT var_uri WHERE brack_open <A> dbo_publisher var_x sep_dot var_x dbp_residence var_uri  sep_dot brack_close
Name the basketball team which is coached by <A> and has president as <B> ?,SELECT DISTINCT var_uri WHERE brack_open var_uri dbp_coach <A> sep_dot var_uri dbp_president <B>  sep_dot var_uri rdf_type dbo_BasketballTeam brack_close
Give me a count of all ice hockey players whose teams are headcoached by <A>?,SELECT DISTINCT COUNT(var_uri) WHERE brack_open var_x dbp_headCoach <A> sep_dot var_uri dbo_team var_x  sep_dot var_uri rdf_type dbo_IceHockeyPlayer brack_close
Which draft team of <A> is also the prospect team of <B> ?, SELECT DISTINCT var_uri WHERE brack_open <A> dbp_prospectTeam var_uri sep_dot <B> dbp_draftTeam var_uri brack_close
How many leagues have used the <A> ?,SELECT DISTINCT COUNT(var_uri) WHERE brack_open <A> dbo_tenant var_uri  sep_dot brack_close
What is the common palce of study for <A> and <B> ?, SELECT DISTINCT var_uri WHERE brack_open <A> dbo_education var_uri sep_dot <B> dbp_education var_uri brack_close
Under which president did <B> and <A> hold an office?,SELECT DISTINCT var_uri WHERE brack_open <B> dbo_president var_uri sep_dot <A> dbo_president var_uri sep_dot brack_close
"What team did the players start their careers with, who right now play for <A>?",SELECT DISTINCT var_uri WHERE brack_open var_x dbo_team <A> sep_dot var_x dbp_debutteam var_uri  sep_dot var_x rdf_type dbo_Athlete brack_close
What sports are played at institutes affiliated by <A>?,SELECT DISTINCT var_uri WHERE brack_open var_x dbo_affiliation <A> sep_dot var_x dbo_sport var_uri  sep_dot var_x rdf_type dbo_EducationalInstitution brack_close
Where did the people die who were known for <A>?,SELECT DISTINCT var_uri WHERE brack_open var_x dbo_knownFor <A> sep_dot var_x dbo_deathPlace var_uri  sep_dot var_x rdf_type dbo_Person brack_close
Who are the chancellors of universities which is affiliated with <A> ?,SELECT DISTINCT var_uri WHERE brack_open var_x dbp_affiliations <A> sep_dot var_x dbp_chancellor var_uri  sep_dot var_x rdf_type dbo_University brack_close
Does <A> play in the <B>?,ASK WHERE brack_open <A> dbp_nationalteam <B> brack_close
Which awards did the narrator of <A> win?,SELECT DISTINCT var_uri WHERE brack_open <A> dbo_narrator var_x sep_dot var_x dbp_awards var_uri  sep_dot brack_close
"What is the musical whose music is by <A>,  based upon?",SELECT DISTINCT var_uri WHERE brack_open var_x dbo_musicBy <A> sep_dot var_x dbo_basedOn var_uri  sep_dot var_x rdf_type dbo_Musical brack_close
"Is the <B> made in <A> style of architecture?","ASK WHERE brack_open <B> dbp_style <A> brack_close"
Which workplace of the <B> is also the  governing body of the <A>?, SELECT DISTINCT var_uri WHERE brack_open <B> dbo_employer var_uri sep_dot <A> dbo_governingBody var_uri brack_close
Who was on the boards of <A> of the City and <B>?,SELECT DISTINCT var_uri WHERE brack_open var_uri dbo_board <A> sep_dot var_uri dbo_board <B> sep_dot brack_close
Who are the people which <A> has employed?,SELECT DISTINCT var_uri WHERE brack_open var_uri dbp_employer <A>  sep_dot brack_close
What is the broadcast area of <A> ?, SELECT DISTINCT var_uri WHERE brack_open <A> dbp_area var_uri brack_close 
What religion did the president follow which was served by <A>?,SELECT DISTINCT var_uri WHERE brack_open <A> dbp_president var_x sep_dot var_x dbo_religion var_uri  sep_dot brack_close
Which kind of buildings are found in <A>?,SELECT DISTINCT var_uri WHERE brack_open var_x dbp_locationCountry <A> sep_dot var_x dbo_type var_uri  sep_dot var_x rdf_type dbo_Building brack_close
"In which state is the team, which has <A>?",SELECT DISTINCT var_uri WHERE brack_open <A> dbo_team var_x sep_dot var_x dbp_state var_uri  sep_dot brack_close
Which awards has been given to both <A> and <B>?,SELECT DISTINCT var_uri WHERE brack_open <A> dbp_awards var_uri sep_dot <B> dbp_awards var_uri sep_dot brack_close
Give me the count of all people who ascented a peak in <A>?,SELECT DISTINCT COUNT(var_uri) WHERE brack_open var_x dbo_locatedInArea <A> sep_dot var_x dbo_firstAscentPerson var_uri  sep_dot var_uri rdf_type dbo_Person brack_close
List the total number of regions of the building whose are located in <A>?, SELECT DISTINCT COUNT(var_uri) WHERE brack_open var_x dbo_region <A> sep_dot var_x dbo_region var_uri brack_close
Is <A> the former coach of <B>?,ASK WHERE brack_open <B> dbo_formerCoach <A> brack_close
<A> is a musical instrument played by which artists?,SELECT DISTINCT var_uri WHERE brack_open var_uri dbo_instrument <A>  sep_dot var_uri rdf_type dbo_MusicalArtist brack_close
List down all the associcated musical artist of the artist of <A> ?,SELECT DISTINCT var_uri WHERE brack_open <A> dbp_artist var_x sep_dot var_x dbo_associatedMusicalArtist var_uri  sep_dot brack_close
List the home town of the people who have <A> as one of it ?,SELECT DISTINCT var_uri WHERE brack_open var_x dbp_homeTown <A> sep_dot var_x dbp_homeTown var_uri  sep_dot var_x rdf_type dbo_Person brack_close
<A> has created how many comics character ?,SELECT DISTINCT COUNT(var_uri) WHERE brack_open var_uri dbp_creators <A>  sep_dot var_uri rdf_type dbo_ComicsCharacter brack_close
Which currency is primarily used by the company which is the distributing label of <A>?,SELECT DISTINCT var_uri WHERE brack_open <A> dbo_distributingLabel var_x sep_dot var_x dbp_currency var_uri  sep_dot var_x rdf_type dbo_Organisation brack_close
Name whose youth club was <A> ?,SELECT DISTINCT var_uri WHERE brack_open var_uri dbp_youthclubs <A>  sep_dot brack_close
Which awards did the writer of <A> win ?,SELECT DISTINCT var_uri WHERE brack_open <A> dbo_writer var_x sep_dot var_x dbp_awards var_uri  sep_dot brack_close
What is the highschool of the american football player who joined the <A> program?,SELECT DISTINCT var_uri WHERE brack_open var_x dbo_school <A>_football sep_dot var_x dbp_highschool var_uri  sep_dot var_x rdf_type dbo_AmericanFootballPlayer brack_close
Was the Army Air Corps honored for the battle of <A> ?,ASK WHERE brack_open dbr_Army_Air_Corps_(United_Kingdom) dbp_battleHonours <A> brack_close
